accel_time_list,accel_x_list,accel_y_list,accel_z_list
4.61,-14.4,-2.0,0.5
4.621,-11.3,-1.9,0.7
4.625,-8.1,-1.7,1.8
4.626,-7.9,-0.9,1.7
4.701,-9.0,-1.0,1.0
4.706,-9.5,-0.9,0.6
4.712,-9.1,-0.0,-0.1
4.714,-8.1,-0.0,-0.2
4.802,-8.2,-0.1,0.3
4.803,-9.0,0.0,0.3
4.806,-9.3,1.0,-0.5
4.808,-9.4,1.0,-0.6
4.926,-9.3,0.9,-0.5
4.929,-9.3,1.2,-0.6
4.933,-9.4,1.2,-0.5
4.934,-9.3,1.4,-0.4
5.001,-9.0,1.2,-0.3
5.002,-9.0,0.9,0.1
5.007,-9.5,0.8,0.3
5.009,-9.5,0.4,0.6
5.101,-9.4,0.0,0.6
5.102,-9.3,-0.1,0.8
5.114,-9.2,-0.3,1.7
5.116,-8.8,-0.3,1.8
5.201,-11.4,0.2,0.3
5.202,-10.8,-0.1,0.5
5.214,-8.8,-1.7,1.6
5.216,-9.4,-1.8,1.8
5.3,-8.6,-2.4,2.4
5.302,-8.2,-2.4,2.4
5.309,-7.4,-1.8,1.8
5.323,-7.2,-2.4,1.9
5.401,-6.9,-2.6,3.0
5.402,-6.2,-3.7,4.6
5.405,-6.6,-5.1,1.6
5.407,-6.2,-6.7,0.6
5.501,-5.2,-9.5,1.9
5.502,-4.3,-11.7,2.6
5.506,-10.3,-10.8,-6.7
5.507,-7.8,-12.1,-3.6
5.604,-7.7,-8.7,-2.0
5.605,-9.3,-6.0,-1.7
5.613,-7.9,-0.7,-5.0
5.615,-9.2,5.4,-0.8
5.705,-10.0,11.9,-1.7
5.706,-9.3,9.9,-4.0
5.718,-9.2,12.0,-9.0
5.72,-15.7,21.2,-23.1
5.801,-35.8,18.5,-21.6
5.804,-38.9,30.7,6.8
5.812,-38.9,-17.9,38.9
5.814,-32.4,-26.4,20.0
5.917,15.0,-1.2,-15.9
5.922,25.6,13.1,-14.6
5.926,-23.5,-17.4,20.1
5.927,-20.5,-13.4,9.5
6.0,-17.1,-15.5,-4.7
6.002,-2.3,-2.3,-7.2
6.005,-1.9,9.7,17.2
6.007,-4.5,9.0,13.3
6.1,-4.4,9.0,15.4
6.101,-7.6,8.9,22.5
6.113,-6.0,-1.4,6.3
6.2,-4.0,1.8,5.6
6.202,-5.4,1.8,6.1
6.204,-3.9,1.4,7.9
6.207,-2.1,-1.5,3.3
6.325,-1.3,-2.3,-1.6
6.326,-0.0,-0.0,-2.1
6.331,0.3,-2.0,-3.6
6.335,-7.1,-3.4,1.0
6.402,-17.1,-4.1,8.9
6.404,-20.1,-1.8,16.8
6.405,-20.5,-1.8,9.7
6.409,-1.3,1.9,2.9
6.414,3.7,0.8,4.5
6.418,-2.8,-3.6,11.9
6.498,-10.6,-4.2,17.0
6.503,-7.2,-1.8,13.7
6.603,-4.8,-2.5,8.2
6.605,-3.6,-1.5,6.0
6.61,-3.4,-3.3,4.7
6.613,-6.9,-1.9,7.6
6.7,-6.5,-0.5,8.5
6.702,-5.8,-0.3,7.7
6.703,-5.0,-0.9,6.4
6.707,-3.8,-1.8,5.2
6.8,-4.3,-1.9,4.5
6.802,-4.5,-1.0,5.5
6.803,-4.8,-0.9,7.0
6.812,-8.6,0.5,9.6
6.906,-4.9,0.5,11.2
6.922,-3.7,-1.4,10.4
6.923,-5.1,-1.7,9.6
6.931,-1.9,-2.5,11.0
7.0,-1.4,-3.5,10.9
7.002,-2.5,-3.2,9.5
7.003,-3.7,-2.4,9.4
7.007,-3.6,-3.0,8.3
7.101,-3.6,-3.2,7.8
7.104,-3.2,-3.0,7.8
7.106,-3.1,-3.0,7.7
7.111,-3.1,-2.9,8.0
7.203,-3.1,-3.0,8.4
7.205,-2.6,-2.7,9.0
7.207,-2.2,-2.6,10.0
7.215,-2.1,-2.6,10.8
7.3,-2.3,-2.8,10.6
7.302,-2.3,-3.2,10.1
7.304,-2.3,-2.8,9.7
7.311,-2.8,-3.1,8.7
7.4,-3.2,-3.0,8.3
7.402,-3.4,-2.8,8.1
7.403,-3.6,-2.6,8.0
7.407,-3.5,-2.4,8.4
7.501,-3.3,-2.4,8.7
7.503,-3.2,-2.2,8.7
7.506,-3.0,-2.1,8.9
7.51,-2.8,-2.5,9.6
