accel_time_list,accel_x_list,accel_y_list,accel_z_list
3.0,-10.3,-0.6,4.1
3.01,-9.3,-1.3,3.1
3.012,-9.9,-1.2,3.1
3.022,-9.1,-2.2,2.1
3.1,-9.2,-1.9,2.1
3.104,-9.0,-0.7,3.7
3.105,-9.4,-0.9,3.9
3.107,-9.0,-1.7,3.5
3.2,-8.9,-1.5,2.7
3.204,-9.0,-1.3,1.9
3.205,-9.0,-1.3,2.1
3.207,-8.6,-1.4,2.6
3.3,-9.5,-1.5,2.2
3.303,-12.7,-2.2,2.5
3.305,-11.5,-2.7,3.2
3.306,-10.0,-2.6,4.1
3.403,-8.1,-1.1,4.6
3.406,-6.1,-0.8,0.5
3.415,-8.7,-1.5,1.0
3.417,-8.9,-1.4,3.0
3.503,-10.7,-1.5,4.2
3.506,-9.5,0.1,4.7
3.508,-8.2,-0.8,5.9
3.513,-9.1,-0.7,5.9
3.6,-7.3,-6.3,6.0
3.604,-5.4,-3.4,5.7
3.605,-5.2,-1.7,3.8
3.607,-5.2,-1.3,3.2
3.7,-7.2,-5.0,2.8
3.705,-4.4,-13.8,4.3
3.707,-4.5,-13.3,6.4
3.709,-5.1,-10.5,7.4
3.804,-4.8,-11.4,6.9
3.816,-0.1,-14.7,9.1
3.818,-4.5,-15.0,6.0
3.82,-7.4,-14.6,3.2
3.9,-6.1,-13.3,4.1
3.903,-7.3,-13.3,7.0
3.905,-6.8,-11.6,5.5
3.915,-5.9,-10.8,2.8
4.005,-6.1,-9.4,-0.2
4.008,-5.8,-6.9,-4.8
4.01,-4.0,-8.8,-12.0
4.012,-0.4,-4.2,-13.6
4.099,1.2,3.1,-12.7
4.103,-11.2,2.7,-3.9
4.104,-15.2,-3.2,-1.5
4.2,-19.5,6.4,-1.2
4.202,-13.0,7.8,0.2
4.213,-2.3,3.0,-4.4
4.215,1.4,5.2,-4.5
4.347,-1.1,4.3,-4.5
4.349,0.4,8.8,-4.2
4.356,-10.0,-5.9,-11.5
4.357,-18.4,4.3,-32.9
4.433,-38.9,-1.4,-38.9
4.435,-37.5,25.6,39.2
4.443,-38.6,4.5,33.5
4.444,-34.0,-19.6,35.9
4.506,28.3,-0.9,-8.3
4.508,25.4,20.2,-19.8
4.512,-16.6,-21.1,8.4
4.513,-35.2,3.0,14.0
4.603,-33.6,6.0,13.7
4.625,-28.3,-24.0,3.9
4.636,-21.3,38.4,-0.9
4.64,39.2,32.7,-5.5
4.751,34.1,-39.2,-17.4
4.756,-24.5,-9.9,34.7
4.767,20.0,-1.1,-14.2
4.773,-36.1,-24.9,9.3
4.854,-0.5,-9.2,11.8
4.855,-6.5,2.5,2.0
4.859,8.3,-15.3,-9.5
4.86,-1.5,-6.0,-6.3
4.929,-5.2,-2.4,-6.0
4.931,-2.5,-4.1,-8.4
4.935,-5.4,-2.9,-4.4
4.936,-4.0,-3.6,-4.7
5.004,-1.4,-5.2,-4.9
5.006,1.6,-8.2,-8.0
5.009,-4.0,-8.5,-5.4
5.013,-6.8,-6.0,-5.2
5.124,-3.5,-8.2,-7.9
5.129,1.5,-4.2,-12.6
5.133,-1.3,2.0,-16.7
5.134,4.6,-7.1,-8.8
5.226,-2.5,-9.5,-7.6
5.228,-7.0,2.5,-3.1
5.231,0.4,-0.9,-9.1
5.233,-2.6,2.4,-12.6
5.24,-2.0,-0.5,-15.1
5.324,-0.8,-2.9,-12.2
5.328,-1.2,-2.1,-7.4
5.344,-1.3,-1.6,-8.4
5.376,-1.0,-2.7,-9.7
5.447,-0.6,-2.9,-10.3
5.456,-0.8,-1.1,-8.9
5.459,-2.5,0.4,-8.2
5.461,-0.1,0.0,-10.0
5.525,-0.8,0.0,-9.9
5.538,-2.8,1.1,-10.8
5.541,-3.3,1.3,-10.9
5.543,-2.6,0.9,-10.5
5.629,-1.0,-1.1,-9.7
5.633,-0.7,-1.7,-9.3
5.634,-0.4,-2.2,-9.2
5.636,-0.5,-2.6,-9.4
5.724,-0.4,-2.8,-9.4
5.736,-0.5,-2.6,-9.1
5.737,-0.6,-2.1,-9.1
5.747,-0.8,-1.5,-9.4
5.824,-1.0,-0.7,-9.5
5.828,-1.1,0.4,-10.1
5.829,-1.4,0.5,-10.9
5.831,-1.8,0.5,-11.0
5.924,-1.4,-0.1,-10.8
5.927,-0.9,-1.1,-9.2
5.929,-0.8,-1.5,-9.4
5.931,-0.7,-1.9,-9.4
6.026,-0.6,-2.2,-9.4
6.034,-0.6,-2.0,-9.4
6.036,-0.7,-1.7,-9.4
6.037,-0.8,-1.2,-9.5
6.1,-0.9,-0.9,-9.7
6.111,-1.1,-0.3,-10.2
6.112,-1.2,-0.2,-10.2
6.121,-1.3,-0.3,-10.3
6.209,-1.2,-0.5,-10.3
6.214,-1.0,-1.0,-9.6
