accel_time_list,accel_x_list,accel_y_list,accel_z_list
2.602,-9.0,-2.7,3.1
2.605,-8.8,-2.5,3.3
2.607,-9.0,-2.5,3.2
2.609,-9.1,-2.4,3.3
2.618,-9.2,-2.4,3.5
2.702,-9.0,-2.5,3.6
2.704,-8.9,-2.5,3.8
2.705,-8.6,-2.6,3.6
2.801,-8.6,-2.6,3.5
2.808,-8.6,-2.5,3.9
2.809,-8.6,-2.7,4.0
2.811,-8.5,-2.7,3.9
2.901,-8.4,-3.0,3.8
2.904,-8.4,-3.1,4.5
2.906,-8.4,-3.4,4.7
2.908,-8.5,-3.4,4.8
3.004,-8.7,-3.3,4.6
3.011,-8.8,-3.4,5.0
3.013,-8.6,-3.7,5.3
3.023,-8.2,-4.2,5.4
3.101,-8.1,-4.4,5.6
3.104,-8.2,-5.0,5.8
3.106,-8.3,-6.6,5.6
3.108,-8.2,-7.5,6.3
3.201,-9.0,-7.7,7.1
3.204,-9.1,-8.6,6.3
3.21,-9.3,-8.9,5.6
3.212,-9.3,-7.9,5.3
3.3,-9.3,-7.3,5.0
3.304,-8.6,-6.8,4.2
3.305,-8.2,-6.6,3.3
3.307,-7.9,-6.5,2.5
3.401,-7.9,-6.0,2.0
3.404,-6.3,-4.8,1.8
3.414,-6.0,-4.6,1.2
3.416,-6.9,-4.7,0.2
3.501,-8.0,-4.5,-0.3
3.508,-9.2,-4.0,-0.7
3.51,-9.5,-3.2,-1.4
3.511,-9.6,-2.6,-1.9
3.601,-9.0,-2.0,-1.4
3.604,-7.3,-1.2,-0.8
3.606,-7.4,-1.2,-0.8
3.607,-7.1,-0.7,-0.9
3.703,-6.7,0.8,-1.0
3.706,-0.7,10.8,-1.2
3.713,2.2,19.4,-0.9
3.714,7.1,13.8,-3.3
3.801,8.3,5.6,5.9
3.812,-3.4,8.7,13.1
3.814,-22.7,1.0,13.3
3.816,-38.6,-10.3,29.4
3.901,6.6,38.9,39.2
3.904,1.1,-20.6,-0.5
3.906,-10.0,-9.1,1.9
3.907,-6.6,2.5,0.4
4.001,-4.9,7.2,-3.0
4.004,-6.2,-6.5,-1.6
4.006,-3.5,-2.5,-1.8
4.007,0.3,0.2,-0.0
4.1,-0.2,1.0,1.8
4.103,-0.1,2.0,3.3
4.105,0.6,1.4,2.3
4.201,1.0,1.5,0.5
4.202,0.3,2.1,0.7
4.218,-4.4,9.6,10.2
4.22,-10.2,18.9,14.2
4.307,-12.5,21.4,17.9
4.309,-14.9,3.1,16.3
4.312,-7.6,-3.2,14.0
4.314,-5.9,-3.3,12.5
4.401,-5.2,4.8,10.1
4.407,-4.4,4.2,7.5
4.41,-3.6,2.6,7.1
4.412,-5.0,3.2,7.2
4.501,-4.5,2.2,5.2
4.502,-4.0,1.6,4.3
4.508,-3.8,1.8,2.9
4.51,-3.4,3.0,3.6
4.601,-3.7,3.3,4.9
4.624,-4.0,3.8,6.9
4.628,-6.3,2.4,10.4
4.629,-8.0,1.3,11.6
4.704,-6.6,1.6,12.6
4.706,-4.4,1.6,12.3
4.709,-2.5,1.5,10.6
4.711,-2.3,1.6,9.8
4.801,-2.0,1.9,9.0
4.803,-2.3,1.9,8.5
4.808,-3.9,1.5,7.7
4.809,-4.4,1.7,7.4
4.901,-5.0,2.0,7.5
4.902,-5.6,1.5,7.2
4.906,-6.2,2.1,7.0
4.907,-6.0,2.3,7.2
5.0,-5.6,2.1,7.5
5.002,-4.5,1.5,8.4
5.005,-3.7,1.7,9.6
5.007,-3.2,2.8,9.6
5.102,-3.1,3.3,9.7
5.104,-3.0,3.0,9.5
5.107,-3.6,2.1,8.8
5.109,-3.9,1.5,8.4
5.201,-4.2,1.6,8.3
5.204,-4.4,1.4,8.1
5.208,-5.0,0.7,8.0
5.209,-5.0,1.4,8.2
5.301,-5.0,1.4,8.1
5.303,-4.9,1.1,8.2
5.306,-4.5,0.5,8.7
5.316,-4.2,1.0,8.9
5.4,-4.1,1.4,9.0
5.404,-4.0,1.2,9.1
5.409,-4.0,1.0,9.2
5.411,-4.0,0.9,9.1
5.5,-4.0,1.0,8.9
5.522,-3.9,1.1,8.7
5.527,-4.0,1.1,8.7
5.529,-4.1,1.1,8.7
