accel_time_list,accel_x_list,accel_y_list,accel_z_list
4.001,-2.8,-6.4,6.5
4.003,-2.8,-7.1,5.8
4.004,-2.8,-7.6,5.8
4.006,-2.9,-7.7,5.7
4.007,-2.8,-7.4,5.8
4.101,-2.6,-7.0,5.8
4.102,-2.4,-6.7,6.0
4.104,-2.9,-7.2,5.7
4.106,-2.8,-7.2,5.7
4.107,-2.9,-6.9,6.0
4.201,-3.3,-7.4,5.5
4.213,-3.3,-7.2,5.5
4.215,-3.5,-7.1,5.6
4.217,-3.4,-7.1,5.6
4.218,-3.2,-7.4,5.6
4.301,-3.3,-7.1,5.7
4.303,-3.1,-7.4,5.3
4.304,-3.1,-7.3,5.3
4.309,-3.1,-7.5,5.2
4.312,-3.0,-7.8,5.2
4.406,-3.2,-7.7,5.2
4.408,-3.3,-7.7,5.2
4.412,-3.3,-8.0,4.8
4.414,-3.4,-7.8,5.2
4.417,-3.1,-7.2,5.5
4.501,-2.9,-7.3,5.5
4.502,-2.9,-7.0,5.4
4.505,-2.9,-7.2,5.4
4.507,-3.0,-7.2,5.4
4.607,-3.0,-6.9,5.3
4.616,-3.3,-7.1,5.6
4.618,-3.2,-7.7,5.0
4.62,-3.3,-6.9,5.1
4.621,-3.0,-7.6,5.0
4.701,-3.0,-6.5,5.1
4.708,-3.0,-7.3,5.3
4.709,-3.0,-6.6,5.2
4.711,-2.7,-5.8,4.9
4.715,-3.3,-5.0,5.2
4.801,-3.5,-6.0,5.5
4.802,-3.3,-7.2,5.1
4.807,-3.0,-6.6,5.6
4.809,-3.9,-5.3,4.6
4.811,-3.7,-4.8,4.7
4.901,-4.0,-3.7,4.9
4.903,-5.1,-2.7,4.9
4.905,-5.9,-1.0,3.8
4.907,-5.1,0.2,2.2
4.908,-3.6,0.4,-0.5
5.001,-2.2,-0.3,-0.5
5.008,-2.7,-2.1,1.4
5.009,-3.6,-4.2,3.8
5.011,-3.0,-1.0,4.7
5.012,-1.7,-0.0,3.5
5.1,1.3,-2.7,-3.1
5.105,6.1,-2.6,-10.3
5.106,13.3,8.0,-17.3
5.108,28.2,-36.1,7.4
5.11,-18.7,-28.3,-32.4
5.206,-24.2,-33.4,15.1
5.208,-10.1,-1.9,5.4
5.209,-2.6,-9.4,1.6
5.211,-5.7,-18.2,-4.7
5.213,1.0,-20.5,-6.2
5.3,4.6,-19.5,9.7
5.302,8.6,-22.2,-2.0
5.304,13.9,-20.5,-15.0
5.306,-18.6,-13.7,7.5
5.315,-25.2,36.5,13.7
5.4,37.7,0.7,-10.4
5.402,4.1,-8.6,-27.7
5.404,5.9,-32.7,-12.2
5.405,1.1,-15.4,-17.4
5.411,22.3,-1.5,-7.6
5.506,8.8,6.7,-8.0
5.508,11.7,3.1,-6.6
5.509,3.4,-0.6,-0.3
5.511,-3.2,-3.3,4.8
5.513,-2.2,-0.7,4.8
5.605,-1.0,-0.4,1.7
5.607,-0.8,-1.2,-1.2
5.608,-0.8,-1.6,-1.8
5.61,-1.2,-1.3,-2.8
5.612,-0.9,-2.5,-5.9
5.7,0.6,-5.8,-11.6
5.702,1.0,-6.6,-14.4
5.704,1.1,-2.6,-16.5
5.713,1.9,2.2,-17.2
5.715,4.5,5.4,-14.4
5.804,6.2,8.5,-9.0
5.805,4.6,7.0,-8.5
5.807,-8.0,2.6,-8.9
5.809,-0.8,-2.7,-10.5
5.81,5.9,-7.6,-14.1
5.9,7.1,6.7,-20.8
5.902,2.2,2.0,-20.2
5.907,1.9,-0.5,-13.5
5.909,3.3,-1.2,-10.6
5.91,1.6,0.8,-7.0
6.0,1.3,1.2,-6.4
6.002,2.3,1.8,-6.0
6.004,3.1,1.9,-5.5
6.006,3.1,1.8,-5.4
6.008,3.4,1.4,-5.2
6.102,3.7,0.8,-6.1
6.103,4.5,0.0,-7.9
6.113,4.2,-0.5,-10.0
6.114,2.8,-0.0,-11.4
6.116,2.4,0.0,-11.9
6.2,2.0,-0.3,-11.4
6.202,0.8,-0.5,-10.1
6.203,0.6,-0.9,-8.7
6.209,0.9,-0.3,-8.5
6.3,1.2,1.6,-8.8
6.302,2.2,2.4,-9.4
6.303,4.3,1.8,-9.8
6.305,5.5,1.9,-10.2
6.307,5.1,2.4,-10.1
6.4,4.2,2.7,-10.2
6.402,3.8,2.5,-10.2
6.403,3.4,2.1,-9.5
6.407,2.7,2.0,-8.5
6.409,2.0,2.3,-7.8
6.503,1.6,2.4,-7.7
6.505,1.4,2.4,-7.9
6.514,1.7,2.1,-8.1
6.516,1.6,2.0,-8.6
6.518,1.7,1.8,-9.0
6.6,1.9,1.6,-9.4
6.602,2.0,1.4,-9.8
6.603,2.2,1.3,-9.7
6.605,2.3,1.1,-9.4
6.607,2.5,1.1,-9.2
6.7,2.4,1.3,-9.3
6.702,2.6,1.4,-9.6
6.704,3.2,1.5,-9.7
6.71,3.4,1.8,-9.9
6.712,3.2,1.9,-9.9
6.8,2.9,1.9,-9.8
6.802,2.8,1.9,-9.6
6.803,2.7,1.9,-9.3
6.805,2.6,1.6,-9.0
6.806,2.3,1.2,-9.0
6.901,2.1,1.0,-8.9
6.912,2.0,1.0,-8.8
6.914,2.0,0.9,-8.9
6.922,2.0,0.7,-9.1
6.923,2.2,0.6,-9.3
