accel_time_list,accel_x_list,accel_y_list,accel_z_list
2.918,-9.1,-1.4,2.7
2.921,-9.8,-0.8,3.3
2.928,-9.1,-1.1,3.3
2.93,-8.9,-1.2,3.1
3.017,-9.4,-1.3,2.6
3.021,-9.7,-1.2,2.5
3.022,-10.1,-0.8,2.8
3.038,-10.6,-0.8,2.4
3.119,-10.4,-0.6,1.8
3.122,-9.7,-0.6,1.7
3.124,-10.3,-0.5,1.8
3.129,-10.6,-0.7,1.7
3.218,-10.4,-0.6,1.3
3.221,-9.9,-0.7,1.4
3.224,-9.6,-0.7,1.4
3.225,-9.4,-0.7,1.6
3.317,-9.0,-0.5,2.1
3.32,-8.5,-0.4,3.3
3.322,-8.5,-0.0,3.6
3.323,-7.5,0.2,3.9
3.417,-6.4,0.3,4.0
3.421,-7.9,0.7,3.6
3.431,-9.6,0.3,3.4
3.432,-10.7,0.0,3.1
3.518,-10.7,0.8,3.2
3.524,-10.1,1.1,1.9
3.526,-9.2,0.2,1.1
3.528,-9.4,-2.3,1.9
3.617,-8.1,-2.9,3.4
3.621,-1.6,-5.7,5.0
3.622,2.9,-9.9,7.2
3.624,6.2,-14.4,11.1
3.717,6.1,-13.5,12.0
3.721,-0.2,-12.5,11.6
3.722,-4.0,-10.9,10.7
3.724,-8.2,-9.5,10.4
3.819,-14.1,-6.6,11.9
3.834,-22.8,2.8,8.5
3.836,-20.2,5.7,7.0
3.837,-22.3,8.6,5.2
3.917,-27.5,11.6,1.2
3.92,-25.6,4.0,-7.6
3.922,-22.0,1.5,-8.3
3.924,-18.9,0.3,-9.3
4.016,-17.3,-1.1,-13.1
4.02,-17.4,-3.2,-18.9
4.022,-13.6,-11.6,-22.4
4.117,-3.4,-17.6,-12.5
4.119,15.4,-18.3,1.9
4.122,30.1,-5.3,17.1
4.124,35.6,-11.1,27.0
4.217,17.3,-14.0,39.2
4.219,6.8,15.5,39.2
4.23,39.2,0.3,25.2
4.232,33.6,-14.0,13.2
4.317,17.2,-14.1,8.0
4.319,9.9,-12.0,4.4
4.322,-7.1,-3.2,6.6
4.324,-6.2,-6.9,-0.2
4.417,4.4,-7.1,-2.2
4.419,0.3,0.8,-5.1
4.426,8.2,0.1,-5.8
4.428,7.8,-4.9,-3.1
4.518,3.7,-3.1,-1.5
4.52,2.6,0.8,-0.5
4.523,9.7,4.5,-1.5
4.526,7.8,-1.4,0.3
4.617,7.9,-2.6,2.2
4.627,10.3,-1.6,3.7
4.631,6.3,-5.4,8.6
4.633,2.6,-6.8,11.3
4.717,-0.3,-7.2,11.4
4.719,0.8,-5.9,10.7
4.725,2.2,-9.1,11.8
4.727,3.1,-12.2,13.4
4.818,-3.1,-23.6,17.8
4.82,-1.7,-14.4,12.4
4.823,-1.4,-1.1,8.2
4.826,-2.2,-3.6,5.8
4.946,-0.8,-4.1,2.6
4.948,2.7,-2.4,4.4
4.953,1.8,-5.0,6.5
4.955,3.2,-2.4,7.6
5.036,4.0,-3.6,12.1
5.041,-0.1,-4.3,14.1
5.045,-4.1,-4.6,13.1
5.046,0.4,-2.1,11.3
5.117,-0.8,-1.8,9.9
5.119,-0.1,-3.0,9.6
5.122,1.4,-1.3,8.3
5.128,1.1,-1.2,7.5
5.218,1.0,-0.9,7.1
5.22,1.0,-1.4,7.1
5.23,0.7,-4.5,8.3
5.232,0.3,-6.7,8.4
5.317,0.3,-9.0,8.2
5.319,0.8,-10.0,8.1
5.322,0.9,-8.3,7.4
5.337,0.8,-7.7,6.7
5.417,0.9,-7.0,6.2
5.419,1.1,-6.6,5.8
5.422,2.5,-5.8,5.6
5.43,3.0,-5.8,6.4
5.517,3.2,-6.0,7.1
5.524,2.7,-6.3,7.8
5.528,1.3,-6.1,8.8
5.529,0.6,-5.4,8.9
5.616,0.2,-5.1,8.8
5.623,0.1,-4.8,8.7
5.626,0.0,-4.1,8.5
5.721,0.3,-4.1,8.3
5.723,0.9,-4.4,8.3
5.724,1.2,-4.6,8.6
5.735,1.4,-5.2,8.8
5.822,1.4,-5.6,8.6
5.823,1.3,-5.7,8.2
5.825,1.3,-5.8,7.9
5.828,1.4,-5.8,7.6
5.938,1.3,-5.8,7.5
5.94,1.1,-5.8,7.6
5.943,1.0,-6.0,7.6
5.949,0.8,-6.3,7.8
