accel_time_list,accel_x_list,accel_y_list,accel_z_list
1.828,-5.8,-1.1,7.9
1.829,-5.8,-1.0,8.0
1.831,-5.6,-1.0,8.0
1.927,-5.4,-1.1,7.9
1.938,-5.5,-1.4,8.0
1.94,-5.6,-1.5,7.9
1.941,-5.5,-1.6,7.9
2.027,-5.5,-1.6,8.1
2.039,-6.1,-2.1,7.9
2.041,-5.8,-1.8,7.6
2.045,-5.4,-1.3,7.6
2.129,-5.0,-1.0,7.7
2.132,-5.0,-1.4,8.0
2.134,-5.1,-1.8,8.1
2.14,-5.2,-2.0,8.1
2.213,-5.2,-2.0,7.9
2.221,-5.3,-1.9,7.9
2.223,-5.4,-1.7,8.1
2.225,-5.6,-1.9,8.2
2.325,-5.6,-2.2,8.0
2.336,-5.3,-1.5,8.1
2.338,-5.4,-1.7,8.3
2.428,-5.4,-1.6,8.4
2.429,-5.3,-1.1,8.8
2.436,-5.1,-1.9,8.2
2.438,-4.8,-2.4,8.0
2.44,-4.7,-2.6,7.7
2.527,-4.5,-2.6,7.3
2.531,-4.3,-1.5,7.5
2.532,-4.1,0.0,7.5
2.534,-3.6,-0.6,6.8
2.628,-5.1,-2.8,7.6
2.636,-9.2,-1.6,8.6
2.638,-7.6,1.8,7.7
2.64,-5.6,2.0,8.2
2.727,-3.7,1.4,8.7
2.734,-3.3,2.1,7.0
2.735,-3.2,3.0,8.3
2.737,-3.4,2.6,10.1
2.826,-5.5,1.1,8.2
2.837,-13.5,-2.9,5.8
2.839,-14.0,0.9,4.6
2.841,-12.3,3.2,1.9
2.926,-13.3,3.4,0.4
2.93,-16.2,9.1,-5.6
2.931,-8.7,6.4,-5.6
2.933,-6.8,0.5,-1.9
3.026,-3.8,-1.7,2.0
3.034,3.6,-1.3,0.5
3.036,10.0,-2.0,3.3
3.046,21.7,-7.2,5.7
3.127,19.6,-8.6,2.1
3.13,36.1,-8.4,30.5
3.132,39.2,-39.2,-1.8
3.134,15.7,-9.4,-3.7
3.227,-38.8,-29.3,-28.8
3.23,5.0,-4.1,1.5
3.236,2.6,3.1,0.9
3.238,-1.3,7.4,0.5
3.326,3.0,4.7,1.9
3.33,13.4,0.9,-3.8
3.331,10.4,0.3,-3.4
3.333,3.5,-4.9,-4.2
3.426,-0.4,-7.7,-3.3
3.43,3.0,-4.9,-1.0
3.44,7.1,-3.5,-0.5
3.527,11.7,-2.9,-0.3
3.528,12.7,-3.0,-0.1
3.531,6.7,-15.8,5.8
3.533,10.3,-25.7,5.9
3.627,-3.1,-15.6,-2.4
3.634,-22.0,-24.4,2.3
3.637,3.0,-5.6,4.6
3.639,5.1,-3.4,3.0
3.731,6.0,-4.6,0.4
3.733,4.7,-4.7,-0.6
3.736,3.8,-3.5,-0.4
3.738,4.2,-3.8,0.2
3.826,3.6,-5.8,0.6
3.828,3.3,-9.4,1.7
3.843,1.5,-18.5,3.7
3.851,0.2,-20.8,4.9
3.926,1.8,-13.4,3.1
3.928,3.2,-5.9,2.7
3.931,2.4,-5.6,2.7
3.933,1.0,-5.8,2.7
4.032,0.8,-5.7,3.7
4.034,1.4,-5.8,5.3
4.037,2.3,-6.5,8.0
4.039,2.2,-7.1,9.2
4.126,2.0,-7.2,9.1
4.128,2.0,-6.8,8.3
4.131,2.7,-5.9,6.5
4.162,3.1,-6.4,5.8
4.225,3.7,-7.0,5.2
4.227,3.9,-7.4,5.0
4.238,3.1,-8.7,4.7
4.24,2.6,-8.9,4.4
4.33,2.4,-8.8,4.2
4.331,2.5,-8.6,3.9
4.335,2.9,-8.5,3.3
4.336,3.1,-8.6,2.9
4.426,3.2,-8.9,2.6
4.432,2.9,-9.4,2.7
4.436,2.4,-9.6,3.7
4.437,2.5,-9.1,4.4
4.53,2.4,-8.6,4.9
4.532,2.4,-8.1,5.4
4.535,2.7,-7.2,5.3
4.537,2.7,-7.2,4.8
4.632,2.6,-7.5,4.3
4.641,2.7,-8.0,3.8
4.645,2.9,-9.2,3.2
4.646,2.8,-9.4,3.1
4.726,2.7,-9.5,3.2
4.731,2.7,-9.2,3.4
4.734,2.7,-8.6,4.2
4.736,2.6,-8.3,4.7
